type_id|level
100|1000
100|925
100|850
100|700
100|500
100|300
100|200
100|150
1|surface
4|isth_lvl
6|ht_sfc
6|max_wnd_lvl
7|trpp_lvl
8|atms_top
9|ocn_bot
101|isbr_lay
102|msl
105|ht_sfc
107|sgma_lvl
113|isnt_lvl
115|ht_msl
160|dpth_sfc
160|mix_lay
160|ocn_lay
200|atms_lay
200|flt_lvl_dom
200|isbr_lvl_dom
200|sky_cvr
201|dpth_s
201|ocn
202|blw_snd_lay
203|shlw_snd_chan
205|deep_snd_cha
206|snd_lay
212|low_cld
222|mid_cld
232|hi_cld
235|deep_lay
236|fcst_per_dom
237|freq_ix
238|ht_sfc_dom
239|lay
240|snd_lay
241|thcl_grad
242|thcl_lvl
243|trns_lay
244|vert_xsct
250|flight_lvl
251|flight_lvl
252|flight_lvl
253|flight_lvl
